"exposure","outcome","beta","se","t_value","p_value","n","df","p_fdr","sig_fdr05","sig_fdr01","sig_bonf"
"log_URXMCOH","log_LBXSATSI",0.0202471032305883,0.0296135165433697,0.683711547763533,0.519674280844173,1580,6,0.783328794003511,FALSE,FALSE,FALSE
"log_URXMHNC","log_LBXSATSI",0.0110073655334071,0.0260318884795495,0.42284160605768,0.687146299223494,1580,6,0.878200604135429,FALSE,FALSE,FALSE
"log_URXMHBP","log_LBXSATSI",-0.0573183934601393,0.0230587938343164,-2.48574985630156,0.0474344366667359,1580,6,0.329179172730371,FALSE,FALSE,FALSE
"log_URXECP","log_LBXSATSI",-0.0479846083799792,0.0229533759229233,-2.09052509491893,0.0815390415392238,1580,6,0.358241334999268,FALSE,FALSE,FALSE
"log_URXP01","log_LBXSATSI",-0.0246031996216672,0.012442181403265,-1.97740242038354,0.0953666651530356,1554,6,0.382458759797742,FALSE,FALSE,FALSE
"log_URXP03","log_LBXSATSI",-0.0437318387661015,0.0239703850761178,-1.82441119019287,0.117897577123987,1566,6,0.418936050846295,FALSE,FALSE,FALSE
"log_URXP04","log_LBXSATSI",-0.0732318320464724,0.025342615587839,-2.88967142292976,0.0277054424919237,1577,6,0.282606183171537,FALSE,FALSE,FALSE
"log_URXP06","log_LBXSATSI",-0.0505726135832152,0.024245906864205,-2.08582066517285,0.0820713155406669,1579,6,0.358241334999268,FALSE,FALSE,FALSE
"log_URXP10","log_LBXSATSI",-0.0210177676996327,0.033834336032364,-0.621196398815934,0.557317653316534,1578,6,0.810194481006854,FALSE,FALSE,FALSE
"log_URXUBA","log_LBXSATSI",0.017338617419085,0.0171559638842596,1.01064664953002,0.351191515567364,1588,6,0.664322866886048,FALSE,FALSE,FALSE
"log_URXUCD","log_LBXSATSI",0.0455531537334918,0.0229418449817746,1.98559243032459,0.0942902474101596,1588,6,0.381860954001697,FALSE,FALSE,FALSE
"log_URXUCO","log_LBXSATSI",-0.0376226899976244,0.0248135041968572,-1.51621833414362,0.180249941718458,1588,6,0.506483758356632,FALSE,FALSE,FALSE
"log_URXUCS","log_LBXSATSI",-0.0434977481967055,0.0314327607784369,-1.38383479909106,0.215688278923272,1588,6,0.550240912891206,FALSE,FALSE,FALSE
"log_URXUMO","log_LBXSATSI",0.0529154594802362,0.0313103246298716,1.6900322850614,0.141979615650376,1588,6,0.459573408819826,FALSE,FALSE,FALSE
"log_URXUMN","log_LBXSATSI",0.0564049197952537,0.0234408030183111,2.40627079845311,0.052841553666144,1588,6,0.341917420206581,FALSE,FALSE,FALSE
"log_URXUPB","log_LBXSATSI",0.0349233963664849,0.0325029668852431,1.07446795518045,0.323911425878386,1588,6,0.648411375420114,FALSE,FALSE,FALSE
"log_URXUSB","log_LBXSATSI",9.36679020163536e-05,0.0309050934545099,0.00303082409875984,0.997680012724431,1588,6,0.999355629490268,FALSE,FALSE,FALSE
"log_URXUSN","log_LBXSATSI",-0.00236576419142549,0.0215820248245165,-0.10961734177685,0.91628721958504,1588,6,0.971883242271424,FALSE,FALSE,FALSE
"log_URXUTL","log_LBXSATSI",-0.00195156703146047,0.0368858237981022,-0.0529083216940617,0.959522532982817,1588,6,0.986605897412996,FALSE,FALSE,FALSE
"log_URXUTU","log_LBXSATSI",0.0555944825422345,0.0256083807663187,2.17094876281107,0.0729664018686203,1588,6,0.352012916759203,FALSE,FALSE,FALSE
